StartDate,EndDate,Status,Progress,Duration,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,1_prob_pre1,2_prob_pre1,3_prob_pre1,4_prob_pre1,1_prob_distr1,2_prob_distr1,3_prob_distr1,4_prob_distr1,5_prob_distr1,6_prob_distr1,1_prob_pre2,2_prob_pre2,3_prob_pre2,4_prob_pre2,climate_t_First Click,climate_t_Last Click,climate_t_Page Submit,climate_t_Click Count,climate_post1,stadium_t_First Click,stadium_t_Last Click,stadium_t_Page Submit,stadium_t_Click Count,stadium_post1,fentanyl_t_First Click,fentanyl_t_Last Click,fentanyl_t_Page Submit,fentanyl_t_Click Count,fentanyl_post1,learning_t_First Click,learning_t_Last Click,learning_t_Page Submit,learning_t_Click Count,learning_post1,1_prob_distr2,2_prob_distr2,3_prob_distr2,4_prob_distr2,5_prob_distr2,6_prob_distr2,check_33,1_prob_post2,2_prob_post2,3_prob_post2,4_prob_post2,1_persuasive,2_persuasive,3_persuasive,4_persuasive,1_trust,2_trust,3_trust,4_trust,5_trust,6_trust,7_trust,Age,Gender,Race,Education_level,Political_Party,Political_Views,workerId,hitId,assignmentId,subj_id
2022-04-27T10:18:36Z,2022-04-27T10:23:49Z,IP Address,100,312,TRUE,2022-04-27T10:23:49Z,R_1JFOtjKiBl5lDd0,anonymous,EN,I consent to participate in this study.,5,6,4,4,5,4,5,5,6,4,5,5,5,5,0,0,16.591,0,99,0,0,16.24,0,81,0,0,24.774,0,5,0,0,16.783,0,31,99,55,54,55,55,55,55,55,55,55,55,Very persuasive,Very persuasive,Extremely persuasive,Extremely persuasive,Largely trustworthy,Largely trustworthy,Completely trustworthy,Completely trustworthy,Completely trustworthy,Largely trustworthy,Completely trustworthy,NA,Female,Black or African American,Master’s Degree,Democratic Party,Very Conservative,A1X9JOMBRKX9RP,3P888QFVYB7RH75CFCODHGAYA5COQQ,35LDD5557JHJTLKZFTV5IA48H5FKMK,1
2022-04-27T10:17:33Z,2022-04-27T10:24:54Z,IP Address,100,440,TRUE,2022-04-27T10:24:55Z,R_2fkfLddHwIPur3f,anonymous,EN,I consent to participate in this study.,40,85,10,70,80,80,10,40,30,50,40,85,10,70,1.214,2.84,23.141,3,95,0,0,20.079,0,10,12.165,12.165,21.466,1,0,1.379,26.296,27,15,50,70,70,20,40,40,50,33,10,95,0,10,Very persuasive,Very persuasive,Very persuasive,Moderately persuasive,Largely trustworthy,Largely trustworthy,Largely trustworthy,Somewhat trustworthy,Somewhat trustworthy,Largely trustworthy,Somewhat untrustworthy,42,Male,White or Caucasian,Bachelor’s Degree,Independent,Neither Liberal nor Conservative,A6Y7SZU9L301W,3P888QFVYB7RH75CFCODHGAYA5COQQ,37Z929RLGILLUZNRTZ5JVAQAS7NTSA,2
2022-04-27T10:17:38Z,2022-04-27T10:25:16Z,IP Address,100,458,TRUE,2022-04-27T10:25:17Z,R_1KmdpdJ4ZRks4i9,anonymous,EN,I consent to participate in this study.,20,60,70,30,75,25,70,20,20,10,20,70,70,30,18.524,19.148,19.513,2,80,0,0,18.541,0,0,28.596,28.596,28.857,1,10,0,0,17.784,0,10,80,40,70,15,25,10,33,0,80,10,30,Moderately persuasive,Slightly persuasive,Very persuasive,Moderately persuasive,Largely trustworthy,Largely trustworthy,Somewhat trustworthy,Completely untrustworthy,Completely untrustworthy,Largely trustworthy,Largely untrustworthy,35,Male,White or Caucasian,High School Diploma,Republican Party,Very Conservative,A11F3MA5FWH6SJ,3LCXHSGDM1JHIW70D2AM74VLORRES1,36WLNQG788NKOUOSSIUT6ZG9L9FEB5,3
2022-04-27T10:17:33Z,2022-04-27T10:25:20Z,IP Address,100,467,TRUE,2022-04-27T10:25:21Z,R_2BA8uijLTBTNLue,anonymous,EN,I consent to participate in this study.,75,60,80,75,43,75,15,15,27,35,75,75,80,75,0,0,24.477,0,75,0,0,17.482,0,75,0,0,22.035,0,15,0,0,42.915,0,75,45,75,60,10,45,35,33,75,85,15,75,Not at all persuasive,Very persuasive,Very persuasive,Not at all persuasive,Largely trustworthy,Largely trustworthy,Somewhat trustworthy,Somewhat trustworthy,Somewhat trustworthy,Largely trustworthy,Largely trustworthy,46,Female,White or Caucasian,Some undergraduate education,Independent,Neither Liberal nor Conservative,A1VFOKKVJ7B9D6,3XJOUITW9247UZAKBTACBQGL9DTQTE,3L0KT67Y8NTHBLML35SI3RIP795YS4,4
2022-04-27T10:18:18Z,2022-04-27T10:25:34Z,IP Address,100,435,TRUE,2022-04-27T10:25:34Z,R_1jiEmWfEqVQNk7h,anonymous,EN,I consent to participate in this study.,50,32,40,62,50,23,18,62,41,42,35,42,68,69,0,0,16.148,0,52,0,0,21.431,0,56,0,0,17.1,0,72,0,0,17.456,0,56,42,52,51,62,42,66,52,53,52,45,45,Very persuasive,Very persuasive,Very persuasive,Moderately persuasive,Largely trustworthy,Largely trustworthy,Somewhat trustworthy,Somewhat trustworthy,Largely trustworthy,Somewhat trustworthy,Largely trustworthy,41,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,A1J9VZ372FV2QZ,31S7M7DAHO3W32U7JO2GU4HRZ76TLS,3EO896NRA58SVW4165W539ZNWOBJTL,5
2022-04-27T10:18:46Z,2022-04-27T10:25:47Z,IP Address,100,421,TRUE,2022-04-27T10:25:47Z,R_2pSul9QbVRyPUcu,anonymous,EN,I consent to participate in this study.,25,98,0,50,90,70,70,0,40,55,30,98,0,70,10.874,10.874,18.048,1,98,0,0,18.679,0,10,4.175,4.175,30.404,1,0,1.603,7.285,16.191,2,20,90,60,70,0,30,55,33,10,98,0,20,Very persuasive,Extremely persuasive,Extremely persuasive,Moderately persuasive,Completely trustworthy,Completely trustworthy,Completely trustworthy,Completely trustworthy,Largely trustworthy,Completely trustworthy,Somewhat untrustworthy,33,Male,White or Caucasian,Bachelor’s Degree,Democratic Party,Very Liberal,A19ZWBQT8A3LIR,329E6HTMT4FGKFEVJ9KOXR0EG8OK3Z,354P56DE9TGYW1QKGW2IQEYS3AXS7Y,6
2022-04-27T10:17:48Z,2022-04-27T10:25:51Z,IP Address,100,483,TRUE,2022-04-27T10:25:51Z,R_2VBKZ2TbF2VoFRe,anonymous,EN,I consent to participate in this study.,75,95,10,60,40,55,5,80,20,40,75,95,10,60,10.518,15.809,17.092,3,95,11.802,17.937,18.927,3,40,9.348,18.569,19.398,3,5,2.964,10.502,38.413,3,30,40,60,10,80,20,40,33,40,95,5,30,Very persuasive,Very persuasive,Moderately persuasive,Moderately persuasive,Largely trustworthy,Largely trustworthy,Somewhat trustworthy,Somewhat untrustworthy,Somewhat trustworthy,Largely trustworthy,Somewhat trustworthy,45,Male,White or Caucasian,Some undergraduate education,Republican Party,Slightly Conservative,A3L0DCUXI7X3A9,3SU800BH9E5MUCP9BY0MGM2NSR0QU5,3OS4RQUCRISCU8OONTEZOH19XAUBFK,7
2022-04-27T10:19:07Z,2022-04-27T10:25:56Z,IP Address,100,408,TRUE,2022-04-27T10:25:56Z,R_2vd0tgAwsZ2Agyt,anonymous,EN,I consent to participate in this study.,60,70,20,80,30,60,10,50,10,50,60,80,10,70,0,0,16.181,0,99,0,0,20.631,0,80,0,0,16.674,0,0,0,0,24.412,0,85,30,40,10,50,20,50,33,90,99,0,95,Moderately persuasive,Very persuasive,Very persuasive,Very persuasive,Largely trustworthy,Largely trustworthy,Somewhat trustworthy,Somewhat untrustworthy,Somewhat trustworthy,Largely trustworthy,Somewhat untrustworthy,30,Male,Asian,Bachelor’s Degree,Independent,Neither Liberal nor Conservative,A1P9ZZAW0TMNTR,3EQVJH0T58YUH6BHS3NI2COKIQXTHL,32AT8R96GUM0UC2GT4VT06CCBLVUS3,8
2022-04-27T10:18:42Z,2022-04-27T10:26:07Z,IP Address,100,444,TRUE,2022-04-27T10:26:07Z,R_ANITPwSN9kvaIc9,anonymous,EN,I consent to participate in this study.,60,90,5,95,70,99,60,35,15,30,60,90,5,95,0,0,16.956,0,95,0,0,17.429,0,30,0,0,16.612,0,0,0,0,17.054,0,10,70,80,70,35,15,30,33,30,95,0,30,Moderately persuasive,Extremely persuasive,Extremely persuasive,Slightly persuasive,Completely trustworthy,Largely trustworthy,Largely trustworthy,Somewhat trustworthy,Somewhat trustworthy,Largely trustworthy,Somewhat trustworthy,31,Male,White or Caucasian,Master’s Degree,Independent,Slightly Liberal,A2QX3YJXAAHHVV,3XJOUITW9247UZAKBTACBQGL9DTQTE,38JBBYETQXN03V3JD3K6YLA3BHYE4Z,9
2022-04-27T10:18:47Z,2022-04-27T10:26:35Z,IP Address,100,467,TRUE,2022-04-27T10:26:36Z,R_3ND3FxH4XK4evfI,anonymous,EN,I consent to participate in this study.,5,90,100,90,10,100,75,50,50,10,15,90,100,100,0,0,27.264,0,99,0,0,16.364,0,0,0,0,38.583,0,0,0,0,16.243,0,2,10,100,50,50,60,5,33,0,99,0,0,Very persuasive,Very persuasive,Very persuasive,Very persuasive,Largely trustworthy,Largely trustworthy,Largely trustworthy,Largely untrustworthy,Somewhat trustworthy,Largely trustworthy,Largely trustworthy,45,Male,White or Caucasian,Some undergraduate education,Independent,Slightly Liberal,A3E8SXH0BAYG85,3W1K7D6QTJUGC5HUY3242PM389EBZ3,3IJXV6UZ16WJK673KY6ARTJ5VOORI3,10
